				Expected					Java Only					Java Alternative		
date	formated	return (no details)	return (details)	dateKeyFalse	dateKeyTrue	yearNoMods	yearMods	effectiveYear	earliestYear	latestYear	onlyYear	minDay	maxDay	message	dateKeyTrue	effectiveYear
   28 SEP 1974	28 Sep 1974	1	1	19740928	19740928	1974	1974	1974	1974	1974	1974	720781	720781			
"Feb 3, 1904"	3 Feb 1904	1	1	19040203	19040203	1904	1904	1904	1904	1904	1904	694994	694994			
"APR 10, 1580"	10 Apr 1580	1	1	15800410	15800410	1580	1580	1580	1580	1580	1580	576800	576800			
APR 10 1580	10 Apr 1580	1	1	15800410	15800410	1580	1580	1580	1580	1580	1580	576800	576800			
ABT 28 SEP 1974	Abt 28 Sep 1974	1	1	19740928	19740928	1974	Abt 1974	1974	1974	1974	1974	720771	720791			
1923 Feb	Feb 1923	1	1	192302	19230200	1923	1923	1923	1923	1923	1923	701927	701954			
Sep 1923	Sep 1923	1	1	192309	19230900	1923	1923	1923	1923	1923	1923	702139	702168			
1875	1875	1	1	1875	18750000	1875	1875	1875	1875	1875	1875	684376	684740			
FROM 1850	From 1850	1	1	1850	18510000	1850	From 1850	1850	1850			675251	675615			
TO 1834	To 1834	1	1	1834	18330000	1834	To 1834	1834		1834		669411	669775			
"September 7 (?), 1925"	7 Sep 1925 (?)	1	1	19250907	19250907	1925	1925	1925	1925	1925	1925	702875	702875			
BET 28 SEP 1974 AND 5 OCT 1978	Bet 28 Sep 1974 and 5 Oct 1978	1	1	19740928	19740929	1978	Bet 1974 & 1978	1978	1974	1978		720781	722248			
BET 1823 AND 17 OCT 1836	Bet 1823 and 17 Oct 1836	1	1	1823	18240000	1836	Bet 1823 & 1836	1836	1823	1836		665396	670430			
BET 28 SEP 1974 AND 5 OCT 1978 (SOME TEXT)	Bet 28 Sep 1974 and 5 Oct 1978 (SOME TEXT)	1	1	19740928	19740929	1978	Bet 1974 & 1978	1978	1974	1978		720781	722248			
BET 1823 AND 17 OCT 1836 (SOME TEXT)	Bet 1823 and 17 Oct 1836 (SOME TEXT)	1	1	1823	18240000	1836	Bet 1823 & 1836	1836	1823	1836		665396	670430			
Int 29 Sep 1874 (second-last day of month)	Int 29 Sep 1874 (second-last day of month)	1	1	18740929	18740929	1874	Int 1874	1874	1874	1874	1874	684282	684282			
15 mar 30	15 Mar 30	1	1	00300315	300315	30	30	30	30	30	30	11024	11024			
28 Feb 1623/24	28 Feb 1623/24	1	1	16240228	16240228	1623/24	1623/24	1624	1624	1624	1624	592819	592819			
28 Feb 1623/4	28 Feb 1623/24	1	1	16240228	16240228	1623/24	1623/24	1624	1624	1624	1624	592819	592819			
Feb 1623/24	Feb 1623/24	1	1	162402	16240200	1623/24	1623/24	1624	1624	1624	1624	592792	592819			
1623/4	1623/24	1	1	1624	16240000	1623/24	1623/24	1624	1624	1624	1624	592761	593125			
5 Feb 1699/1700	5 Feb 1699/00	1	1	17000205	17000205	1699/00	1699/00	1700	1700	1700	1700	620536	620536			
5 Feb 1699/00	5 Feb 1699/00	1	1	17000205	17000205	1699/00	1699/00	1700	1700	1700	1700	620536	620536			
5 feb 1700/1	5 Feb 1700/01	1	1	17010205	17010205	1700/01	1700/01	1701	1701	1701	1701	620901	620901			
